[0.000000] (-) TimerEvent: {}
[0.000888] (-) JobUnselected: {'identifier': 'ackermann_mux'}
[0.000983] (-) JobUnselected: {'identifier': 'f110_gym'}
[0.001069] (-) JobUnselected: {'identifier': 'f1tenth_rl'}
[0.001214] (-) JobUnselected: {'identifier': 'f1tenth_stack'}
[0.001337] (-) JobUnselected: {'identifier': 'joy_teleop'}
[0.001486] (-) JobUnselected: {'identifier': 'key_teleop'}
[0.001559] (-) JobUnselected: {'identifier': 'mouse_teleop'}
[0.001596] (-) JobUnselected: {'identifier': 'particle_filter'}
[0.001630] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.001663] (-) JobUnselected: {'identifier': 'safety_node'}
[0.001695] (-) JobUnselected: {'identifier': 'simple_teleop'}
[0.001727] (-) JobUnselected: {'identifier': 'stanley2_avoidance'}
[0.001759] (-) JobUnselected: {'identifier': 'teleop_tools'}
[0.001791] (-) JobUnselected: {'identifier': 'teleop_tools_msgs'}
[0.001822] (-) JobUnselected: {'identifier': 'vesc'}
[0.001854] (-) JobUnselected: {'identifier': 'vesc_ackermann'}
[0.001886] (-) JobUnselected: {'identifier': 'vesc_driver'}
[0.001917] (-) JobUnselected: {'identifier': 'vesc_msgs'}
[0.001948] (-) JobUnselected: {'identifier': 'waypoint_generator'}
[0.001991] (-) EventReactorShutdown: {}
